date,category,value
2005-12-01,United States,21.7438095238095
2006-01-01,United States,23.3795
2006-02-01,United States,24.1347368421053
2006-03-01,United States,23.06
2006-04-01,United States,23.5857894736842
2006-05-01,United States,23.4345454545455
2006-06-01,United States,23.3222727272727
2006-07-01,United States,22.304
2006-08-01,United States,21.3869565217391
2006-09-01,United States,21.1615
2006-10-01,United States,20.3186363636364
2006-11-01,United States,19.7565
2006-12-01,United States,19.589
2007-01-01,United States,19.9145
2007-02-01,United States,20.7257894736842
2007-03-01,United States,20.8272727272727
2007-04-01,United States,20.906
2007-05-01,United States,21.0109090909091
2007-06-01,United States,21.3238095238095
2007-07-01,United States,21.1180952380952
2007-08-01,United States,21.8017391304348
2007-09-01,United States,21.0047368421053
2007-10-01,United States,20.2791304347826
2007-11-01,United States,20.0375
2007-12-01,United States,20.2084210526316
2008-01-01,United States,20.2642857142857
2008-02-01,United States,20.212
2008-03-01,United States,20.637
2008-04-01,United States,20.5368181818182
2008-05-01,United States,20.8328571428571
2008-06-01,United States,21.8971428571429
2008-07-01,United States,23.1786363636364
2008-08-01,United States,23.147619047619
2008-09-01,United States,22.9357142857143
2008-10-01,United States,21.615652173913
2008-11-01,United States,20.6189473684211
2008-12-01,United States,20.0040909090909
2009-01-01,United States,20.572
2009-02-01,United States,19.94
2009-03-01,United States,20.4572727272727
2009-04-01,United States,21.7738095238095
2009-05-01,United States,22.0652631578947
2009-06-01,United States,22.4728571428571
2009-07-01,United States,23.0154545454546
2009-08-01,United States,25.0359515028191
2009-09-01,United States,27.3427773413829
2009-10-01,United States,28.3682020992539
2009-11-01,United States,29.4551700113593
2009-12-01,United States,31.5300246118894
2010-01-01,United States,29.9105263157895
2010-02-01,United States,29.6210526315789
2010-03-01,United States,27.7304347826087
2010-04-01,United States,26.147619047619
2010-05-01,United States,25.325
2010-06-01,United States,27.61
2010-07-01,United States,29.2147619047619
2010-08-01,United States,30.9977272727273
2010-09-01,United States,35.2209523809524
2010-10-01,United States,34.7433333333333
2010-11-01,United States,38.0890476190476
2010-12-01,United States,38.0040909090909
2011-01-01,United States,39.6721052631579
2011-02-01,United States,40.3673684210526
2011-03-01,United States,36.1091304347826
2011-04-01,United States,35.7595
2011-05-01,United States,34.1980952380952
2011-06-01,United States,35.1245454545454
2011-07-01,United States,37.8855
2011-08-01,United States,39.6086956521739
2011-09-01,United States,39.2842857142857
2011-10-01,United States,38.1971428571428
2011-11-01,United States,38.1057142857143
2011-12-01,United States,36.557619047619
2012-01-01,United States,35.356
2012-02-01,United States,33.986
2012-03-01,United States,33.4822727272727
2012-04-01,United States,31.929
2012-05-01,United States,30.37
2012-06-01,United States,28.8919047619048
2012-07-01,United States,28.7085714285714
2012-08-01,United States,28.8313043478261
2012-09-01,United States,25.7631578947368
2012-10-01,United States,24.154347826087
2012-11-01,United States,22.7080952380952
2012-12-01,United States,22.5645
2013-01-01,United States,22.5938095238095
2013-02-01,United States,21.8452631578947
2013-03-01,United States,21.5355
2013-04-01,United States,20.7304545454545
2013-05-01,United States,20.3086363636364
2013-06-01,United States,19.609
2013-07-01,United States,20.4627272727273
2013-08-01,United States,21.3595454545455
2013-09-01,United States,21.581
2013-10-01,United States,22.1939130434783
2013-11-01,United States,21.6065
2013-12-01,United States,20.7480952380952
2014-01-01,United States,21.5780952380952
2014-02-01,United States,22.5963157894737
2014-03-01,United States,23.0119047619048
2014-04-01,United States,24.65
2014-05-01,United States,25.1585714285714
2014-06-01,United States,25.96
2014-07-01,United States,26.1486363636364
2014-08-01,United States,26.5371428571429
2014-09-01,United States,26.6914285714286
2014-10-01,United States,26.6082608695652
2014-11-01,United States,24.6005263157895
2014-12-01,United States,24.8063636363636
2015-01-01,United States,25.24
2015-02-01,United States,24.6231578947368
2015-03-01,United States,24.3981818181818
2015-04-01,United States,24.3871428571429
2015-05-01,United States,24.7195
2015-06-01,United States,24.76
2015-07-01,United States,24.6722727272727
2015-08-01,United States,24.5004761904762
2015-09-01,United States,24.4347619047619
2015-10-01,United States,25.0381818181818
2015-11-01,United States,25.5565
