date,category,value
1980-01-01,United States,
1980-02-01,United States,
1980-03-01,United States,
1980-04-01,United States,
1980-05-01,United States,
1980-06-01,United States,
1980-07-01,United States,
1980-08-01,United States,
1980-09-01,United States,
1980-10-01,United States,
1980-11-01,United States,
1980-12-01,United States,
1981-01-01,United States,
1981-02-01,United States,
1981-03-01,United States,
1981-04-01,United States,
1981-05-01,United States,
1981-06-01,United States,
1981-07-01,United States,
1981-08-01,United States,
1981-09-01,United States,
1981-10-01,United States,
1981-11-01,United States,
1981-12-01,United States,
1982-01-01,United States,
1982-02-01,United States,
1982-03-01,United States,
1982-04-01,United States,
1982-05-01,United States,
1982-06-01,United States,
1982-07-01,United States,
1982-08-01,United States,
1982-09-01,United States,
1982-10-01,United States,
1982-11-01,United States,
1982-12-01,United States,
1983-01-01,United States,
1983-02-01,United States,
1983-03-01,United States,
1983-04-01,United States,
1983-05-01,United States,
1983-06-01,United States,
1983-07-01,United States,
1983-08-01,United States,
1983-09-01,United States,
1983-10-01,United States,
1983-11-01,United States,
1983-12-01,United States,
1984-01-01,United States,
1984-02-01,United States,
1984-03-01,United States,
1984-04-01,United States,
1984-05-01,United States,
1984-06-01,United States,
1984-07-01,United States,
1984-08-01,United States,
1984-09-01,United States,
1984-10-01,United States,
1984-11-01,United States,
1984-12-01,United States,
1985-01-01,United States,
1985-02-01,United States,
1985-03-01,United States,
1985-04-01,United States,
1985-05-01,United States,
1985-06-01,United States,
1985-07-01,United States,
1985-08-01,United States,
1985-09-01,United States,
1985-10-01,United States,
1985-11-01,United States,
1985-12-01,United States,
1986-01-01,United States,
1986-02-01,United States,
1986-03-01,United States,
1986-04-01,United States,
1986-05-01,United States,
1986-06-01,United States,
1986-07-01,United States,
1986-08-01,United States,
1986-09-01,United States,
1986-10-01,United States,
1986-11-01,United States,
1986-12-01,United States,
1987-01-01,United States,
1987-02-01,United States,
1987-03-01,United States,
1987-04-01,United States,
1987-05-01,United States,
1987-06-01,United States,
1987-07-01,United States,
1987-08-01,United States,
1987-09-01,United States,
1987-10-01,United States,
1987-11-01,United States,
1987-12-01,United States,
1988-01-01,United States,
1988-02-01,United States,
1988-03-01,United States,
1988-04-01,United States,
1988-05-01,United States,
1988-06-01,United States,
1988-07-01,United States,
1988-08-01,United States,
1988-09-01,United States,
1988-10-01,United States,
1988-11-01,United States,
1988-12-01,United States,
1989-01-01,United States,
1989-02-01,United States,
1989-03-01,United States,
1989-04-01,United States,
1989-05-01,United States,
1989-06-01,United States,
1989-07-01,United States,
1989-08-01,United States,
1989-09-01,United States,
1989-10-01,United States,
1989-11-01,United States,
1989-12-01,United States,
1990-01-01,United States,23.0499992370605
1990-02-01,United States,22.8800010681152
1990-03-01,United States,23.5800018310547
1990-04-01,United States,23.7900009155273
1990-05-01,United States,23.5900001525879
1990-06-01,United States,23.310001373291
1990-07-01,United States,23.4199981689453
1990-08-01,United States,23.2599983215332
1990-09-01,United States,23.2299995422363
1990-10-01,United States,23.2900009155273
1990-11-01,United States,23.1500015258789
1990-12-01,United States,22.4799995422363
1991-01-01,United States,21.7999992370605
1991-02-01,United States,21.4199981689453
1991-03-01,United States,21.4300003051758
1991-04-01,United States,21.2200012207031
1991-05-01,United States,21.2799987792969
1991-06-01,United States,21.4000015258789
1991-07-01,United States,21.2465324401855
1991-08-01,United States,21.7695999145508
1991-09-01,United States,22.0538101196289
1991-10-01,United States,21.7777290344238
1991-11-01,United States,21.7552642822266
1991-12-01,United States,21.4771423339844
1992-01-01,United States,21.3754539489746
1992-02-01,United States,21.5805015563965
1992-03-01,United States,21.356819152832
1992-04-01,United States,21.3638114929199
1992-05-01,United States,21.026668548584
1992-06-01,United States,20.8872718811035
1992-07-01,United States,21.088752746582
1992-08-01,United States,21.2852401733398
1992-09-01,United States,21.550952911377
1992-10-01,United States,21.6272735595703
1992-11-01,United States,21.3810539245605
1992-12-01,United States,21.0790901184082
1993-01-01,United States,20.755500793457
1993-02-01,United States,21.0516662597656
1993-03-01,United States,21.5678253173828
1993-04-01,United States,21.6944999694824
1993-05-01,United States,21.3584995269775
1993-06-01,United States,21.3945446014404
1993-07-01,United States,21.8854541778564
1993-08-01,United States,21.944091796875
1993-09-01,United States,21.9569568634033
1993-10-01,United States,21.8714294433594
1993-11-01,United States,21.8657150268555
1993-12-01,United States,21.9968185424805
1994-01-01,United States,22.0042858123779
1994-02-01,United States,21.9360008239746
1994-03-01,United States,21.9473915100098
1994-04-01,United States,22.0405006408691
1994-05-01,United States,22.180477142334
1994-06-01,United States,22.4527263641357
1994-07-01,United States,22.7342109680176
1994-08-01,United States,21.8947830200195
1994-09-01,United States,21.7822723388672
1994-10-01,United States,21.5223808288574
1994-11-01,United States,21.574499130249
1994-12-01,United States,22.3142852783203
1995-01-01,United States,22.6571426391602
1995-02-01,United States,22.6700000762939
1995-03-01,United States,22.4647827148438
1995-04-01,United States,22.7847366333008
1995-05-01,United States,23.0954551696777
1995-06-01,United States,23.5338096618652
1995-07-01,United States,24.4715785980225
1995-08-01,United States,23.4869995117188
1995-09-01,United States,23.2252635955811
1995-10-01,United States,22.9650001525879
1995-11-01,United States,22.6005001068115
1995-12-01,United States,22.7105884552002
1996-01-01,United States,22.3934993743896
1996-02-01,United States,22.6166667938232
1996-03-01,United States,22.5690479278564
1996-04-01,United States,22.5847625732422
1996-05-01,United States,22.5881824493408
1996-06-01,United States,22.4860000610352
1996-07-01,United States,21.8028564453125
1996-08-01,United States,22.3530006408691
1996-09-01,United States,22.3764991760254
1996-10-01,United States,22.3663635253906
1996-11-01,United States,22.1236839294434
1996-12-01,United States,22.0985717773438
1997-01-01,United States,21.879545211792
1997-02-01,United States,21.8721008300781
1997-03-01,United States,21.8064994812012
1997-04-01,United States,21.7309093475342
1997-05-01,United States,21.701904296875
1997-06-01,United States,21.6285705566406
1997-07-01,United States,22.0256519317627
1997-08-01,United States,22.2323818206787
1997-09-01,United States,22.2936363220215
1997-10-01,United States,22.2473907470703
1997-11-01,United States,21.8994445800781
1997-12-01,United States,21.8899993896484
1998-01-01,United States,21.8484992980957
1998-02-01,United States,21.79421043396
1998-03-01,United States,21.7422733306885
1998-04-01,United States,22.1399993896484
1998-05-01,United States,22.306999206543
1998-06-01,United States,22.4318180084229
1998-07-01,United States,22.6686954498291
1998-08-01,United States,22.2185707092285
1998-09-01,United States,21.9277267456055
1998-10-01,United States,21.6554546356201
1998-11-01,United States,21.8250007629395
1998-12-01,United States,22.1922721862793
1999-01-01,United States,22.4110527038574
1999-02-01,United States,22.336
1999-03-01,United States,22.5427272727273
1999-04-01,United States,22.5980952380952
1999-05-01,United States,22.652
1999-06-01,United States,22.625
1999-07-01,United States,22.6036363636364
1999-08-01,United States,21.2781818181818
1999-09-01,United States,20.1231818181818
1999-10-01,United States,19.4338095238095
1999-11-01,United States,17.4022727272727
1999-12-01,United States,17.6690476190476
2000-01-01,United States,17.6904761904762
2000-02-01,United States,17.084
2000-03-01,United States,18.388
2000-04-01,United States,19.4115
2000-05-01,United States,19.1169565217391
2000-06-01,United States,19.0636363636364
2000-07-01,United States,18.8304761904762
2000-08-01,United States,18.8847826086957
2000-09-01,United States,19.5685
2000-10-01,United States,21.5936363636364
2000-11-01,United States,21.7685
2000-12-01,United States,21.3565
2001-01-01,United States,21.4638095238095
2001-02-01,United States,21.541
2001-03-01,United States,21.5522727272727
2001-04-01,United States,21.5173684210526
2001-05-01,United States,21.3481818181818
2001-06-01,United States,21.0385714285714
2001-07-01,United States,21.0061904761905
2001-08-01,United States,21.2891304347826
2001-09-01,United States,21.3706666666667
2001-10-01,United States,21.1539130434783
2001-11-01,United States,21.328
2001-12-01,United States,21.4417647058824
2002-01-01,United States,21.2390476190476
2002-02-01,United States,20.9105263157895
2002-03-01,United States,20.21
2002-04-01,United States,19.7395454545455
2002-05-01,United States,19.8245454545455
2002-06-01,United States,19.9895
2002-07-01,United States,20.7252380952381
2002-08-01,United States,20.9495454545455
2002-09-01,United States,21.5185
2002-10-01,United States,21.8321739130435
2002-11-01,United States,22.3110526315789
2002-12-01,United States,22.0375
2003-01-01,United States,22.0442857142857
2003-02-01,United States,22.1816666666667
2003-03-01,United States,22.2557142857143
2003-04-01,United States,22.0014285714286
2003-05-01,United States,21.8471428571429
2003-06-01,United States,21.6266666666667
2003-07-01,United States,21.35
2003-08-01,United States,21.2542857142857
2003-09-01,United States,21.1661904761905
2003-10-01,United States,21.024347826087
2003-11-01,United States,20.8466666666667
2003-12-01,United States,20.3995238095238
2004-01-01,United States,20.5815789473684
2004-02-01,United States,20.6457894736842
2004-03-01,United States,21.1291304347826
2004-04-01,United States,21.0461904761905
2004-05-01,United States,20.7545
2004-06-01,United States,20.03
2004-07-01,United States,20.3609523809524
2004-08-01,United States,20.1
2004-09-01,United States,20.7790476190476
2004-10-01,United States,20.4347619047619
2004-11-01,United States,20.445
2004-12-01,United States,20.5461904761905
2005-01-01,United States,20.623
2005-02-01,United States,20.36
2005-03-01,United States,20.6013636363636
2005-04-01,United States,21.2142857142857
2005-05-01,United States,21.8914285714286
2005-06-01,United States,21.0404545454545
2005-07-01,United States,20.687
2005-08-01,United States,20.4886956521739
2005-09-01,United States,20.8133333333333
2005-10-01,United States,21.7204761904762
2005-11-01,United States,21.6365
